rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
1,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,1,1,5,4059677,2023-09-07
2,spotify:track:2FDTHlrBguDzQkp7PVj16Q,"Dave, Central Cee",Sprinter,Neighbourhood / Live Yours,1,2,14,2958143,2023-09-07
3,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,3,5,27,2175445,2023-09-07
4,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,Dua Lipa,Dance The Night - From Barbie The Album,Atlantic Records,2,3,15,2120424,2023-09-07
5,spotify:track:23RoR84KodL5HWvUTneQ1w,Peggy Gou,(It Goes Like) Nanana - Edit,XL Recordings,5,7,12,2033471,2023-09-07
6,spotify:track:3k79jB4aGmMDUQzEwa46Rz,Olivia Rodrigo,vampire,Olivia Rodrigo PS,2,6,10,2017256,2023-09-07
7,spotify:track:59NraMJsLaMCVtwXTSia8i,"cassö, RAYE, D-Block Europe",Prada,Ministry of Sound Recordings,7,9,4,1909408,2023-09-07
8,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",Darkroom/Interscope Records,2,4,8,1898950,2023-09-07
9,spotify:track:3YgtkOxZsTuaZdL8McA1FQ,"Fred again.., Obongjayar",adore u,Atlantic Records UK,9,13,4,1729410,2023-09-07
10,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,Gunna,fukumean,300 Entertainment,5,8,12,1657528,2023-09-07
11,spotify:track:602d2gJewoiF1FivuOMMwE,"Becky Hill, Chase & Status",Disconnect,Polydor Records,11,11,8,1574785,2023-09-07
12,spotify:track:2ZWmmrWUgDBcPSLihBMvhg,"Chase & Status, Bou, Flowdan, IRAH, Trigga, Takura","Baddadan (feat. IRAH, Flowdan, Trigga & Takura)",EMI,12,14,6,1558205,2023-09-07
13,spotify:track:2i8f4VnnBjy0yDqH2C452a,Olivia Rodrigo,bad idea right?,Olivia Rodrigo PS,7,10,4,1452323,2023-09-07
14,spotify:track:22dUzMFttcR3uU17NcOAIv,"Calvin Harris, Sam Smith",Desire (with Sam Smith),Columbia,14,18,6,1313496,2023-09-07
15,spotify:track:741UUVE2kuITl0c6zuqqbO,"Nicki Minaj, Ice Spice, Aqua",Barbie World (with Aqua) [From Barbie The Album],Atlantic Records,5,12,11,1294522,2023-09-07
16,spotify:track:1ACFweuuvf6MHtptObgreR,Jazzy,Giving Me,Polydor Records,3,15,20,1272495,2023-09-07
17,spotify:track:0ZVjgfaC2Ptrod9v6p9KFP,"Hannah Laing, RoRo",Good Love,WUGD / Polydor Records,8,17,15,1244716,2023-09-07
18,spotify:track:5VxmI3IdgAxWVvUnJoLuY2,Charli xcx,Speed Drive (From Barbie The Album),Atlantic Records,8,16,8,1232431,2023-09-07
19,spotify:track:6WzRpISELf3YglGAh7TXcG,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),XO / Republic Records,8,19,14,1174797,2023-09-07
20,spotify:track:1odExI7RdWc4BT515LTAwj,David Kushner,Daylight,Miserable Music Group,1,20,21,1089198,2023-09-07
21,spotify:track:5mjYQaktjmjcMKcUIcqz4s,Kenya Grace,Strangers,Warner Records/Major Recordings,21,-1,1,1083538,2023-09-07
22,spotify:track:5eTaQYBE1yrActixMAeLcZ,"Calvin Harris, Ellie Goulding",Miracle (with Ellie Goulding),Columbia,1,22,26,1062638,2023-09-07
23,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,24,46,1024380,2023-09-07
24,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,25,75,1024307,2023-09-07
25,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,Island Records,19,23,350,1007976,2023-09-07
26,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Flowers,Columbia,1,26,34,996746,2023-09-07
27,spotify:track:41WQUSINanQHfhfKpFDsms,Miley Cyrus,Used To Be Young,Columbia,21,21,2,987691,2023-09-07
28,spotify:track:4bz8Z7squfs2Yji2DwoujR,"Sonny Fodera, MK, Clementine Douglas",Asking,Solotoko,28,41,5,984501,2023-09-07
29,spotify:track:2z4fGpFidAVgaK06ChmtXt,D.O.D,So Much In Love,Armada Music,29,37,13,924870,2023-09-07
30,spotify:track:6kgaI3kHkqmRimeGQdS4Ga,"J Hus, Drake",Who Told You (feat. Drake),Black Butter,2,27,13,922440,2023-09-07
31,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,2,28,39,914302,2023-09-07
32,spotify:track:6xp1u6ZEHXX8DxJIFFrVoP,Jorja Smith,Little Things x Gypsy Woman - L BEATS MASHUP,FAMM,21,38,10,908460,2023-09-07
33,spotify:track:2Vewxhl9sD0IhO9Az4qLS5,"Nathan Dawe, Joel Corry, Ella Henderson",0800 HEAVEN,Atlantic Records UK,21,30,13,907259,2023-09-07
34,spotify:track:0ug5NqcwcFR2xrfTkc7k8e,Taylor Swift,Style,Taylor Swift,25,29,30,871883,2023-09-07
35,spotify:track:3xIMkM5LgbVDkpO74O3Np3,Troye Sivan,Rush,EMI Recorded Music Australia Pty Ltd,22,56,8,843251,2023-09-07
36,spotify:track:5gqu7rZE6fTFwbN2metxv4,"Rudimental, Charlotte Plank, Vibe Chemistry",Dancing is Healing,Room Two Recordings,9,40,18,835391,2023-09-07
37,spotify:track:1s7oOCT8vauUh01PbJD6ps,"Rema, Selena Gomez",Calm Down,Mavin Records/Jonzing World,11,43,53,826873,2023-09-07
38,spotify:track:456WNXWhDwYOSf5SpTuqxd,Florence + The Machine,Dog Days Are Over,Universal-Island Records Ltd.,21,33,73,823062,2023-09-07
39,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,"PinkPantheress, Ice Spice",Boy's a liar Pt. 2,Warner Records,1,39,31,823026,2023-09-07
40,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide,F-Stop Records/Atlantic,25,35,303,802166,2023-09-07
41,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,Everybody Wants To Rule The World,UMC (Universal Music Catalogue),37,42,95,798448,2023-09-07
42,spotify:track:78Du4CMFgnhdlG33gblkiP,Oliver Anthony Music,Rich Men North of Richmond,Oliver Anthony Music/ radiowv,31,31,3,788278,2023-09-07
43,spotify:track:7x9aauaA9cu6tyfpHnqDLo,"Jung Kook, Latto",Seven (feat. Latto),BIGHIT MUSIC,9,46,8,780638,2023-09-07
44,spotify:track:2Z5EUCXngeoYD7wmJBcJv1,"Anne-Marie, Shania Twain",UNHEALTHY (feat. Shania Twain),Atlantic Records UK,36,73,14,773697,2023-09-07
45,spotify:track:4fYte8ZvTK14NEhAOZocBi,OneRepublic,I Ain't Worried,Mosley Music/Interscope Records,4,45,66,765819,2023-09-07
46,spotify:track:5u4hhtZ7f4rWkMZEZcTKrH,"ANOTR, Abel Balder",Relax My Eyes,NO ART,37,53,23,764732,2023-09-07
47,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,17,36,175,754947,2023-09-07
48,spotify:track:1UPHCP5YeVfele4DMbdGyi,"Switch Disco, Ella Henderson, Robert Miles",REACT,Relentless Records,11,58,23,753222,2023-09-07
49,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Pink + White,Boys Don't Cry,49,54,35,750882,2023-09-07
50,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,22,44,59,746514,2023-09-07
51,spotify:track:3FyxwVvc9JqmVl5IVDPaNU,"Burna Boy, Dave",Cheat On Me (feat. Dave),Spaceship Entertainment Ltd.,34,34,2,744813,2023-09-07
52,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,Taylor Swift,august,Taylor Swift,22,47,26,743103,2023-09-07
53,spotify:track:0f97n6kmc8RYUwMyialr8y,"Bou, Slay",Closer,Universal-Island Records Ltd.,51,74,15,722956,2023-09-07
