rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
1,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,1,1,7,4656365,2021-07-01
2,spotify:track:6PQ88X9TkUIAUIZJHW2upE,Ed Sheeran,Bad Habits,Atlantic Records UK,2,-1,1,4169153,2021-07-01
3,spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,2,3,12,2538140,2021-07-01
4,spotify:track:3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',RCA Records Label,4,11,4,2444077,2021-07-01
5,spotify:track:4pt5fDVTg5GhEvEtlz9dKk,Måneskin,I WANNA BE YOUR SLAVE,RCA Records Label,5,5,6,2437050,2021-07-01
6,spotify:track:6nV2dFZXpv1JlqDWBeTXRl,KSI,Holiday,BMG Rights Management (US) LLC,2,2,2,2204386,2021-07-01
7,spotify:track:67BtfxlNbhBmCDR2L2l8qd,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,1,4,14,2192894,2021-07-01
8,spotify:track:5K6Ssv4Z3zRvxt0P6EKUAP,"Galantis, David Guetta, Little Mix",Heartbreak Anthem (with David Guetta & Little Mix),Big Beat Records,8,10,6,1975884,2021-07-01
9,spotify:track:6uvMKqNlrSvcC4NaKnrwjZ,"Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Atlantic Records UK,1,6,10,1797346,2021-07-01
10,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,3,7,13,1699372,2021-07-01
11,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,Olivia Rodrigo PS,6,8,6,1688727,2021-07-01
12,spotify:track:6mSzsSdu0CWIV70jEjWMhI,ArrDee,Oliver Twist,Universal-Island Records Ltd.,8,9,4,1621296,2021-07-01
13,spotify:track:0k4d5YPDr1r7FX77VdqWez,"Doja Cat, The Weeknd",You Right,Kemosabe Records/RCA Records,13,-1,1,1569974,2021-07-01
14,spotify:track:37BZB0z9T8Xu7U3e65qxFy,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),Republic Records,14,16,10,1499832,2021-07-01
15,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,7,15,39,1482742,2021-07-01
16,spotify:track:15OCqNPYoLziEAsbVnqRj5,Mimi Webb,Good Without,Epic,16,18,14,1364980,2021-07-01
17,spotify:track:18vXApRmJSgQ6wG2ll9AOg,Polo G,RAPSTAR,Columbia,3,13,12,1352665,2021-07-01
18,spotify:track:0siYMEsGrzzzlWLXK5zJfS,"Joel Corry, RAYE, David Guetta",BED,Perfect Havoc / Asylum Records,4,14,18,1337582,2021-07-01
19,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,12,25,1290184,2021-07-01
20,spotify:track:0Ai6qtPfiEYGCqBGJYWD1W,"Baddiel, Skinner & Lightning Seeds",Three Lions (Football's Coming Home),Sony Music UK,6,36,8,1209888,2021-07-01
21,spotify:track:5JCoSi02qi3jJeHdZXMmR8,Olivia Rodrigo,favorite crime,Olivia Rodrigo PS,8,17,6,1195790,2021-07-01
22,spotify:track:0vR2rIVORmgeKiGIgNT0fV,"Calvin Harris, Tom Grennan",By Your Side (feat. Tom Grennan),Columbia,22,26,4,1175300,2021-07-01
23,spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, GIVĒON",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,1,20,15,1172930,2021-07-01
24,spotify:track:2Ms8MDDtYBw7M3K5F3EqPX,Mimi Webb,Dumb Love,Epic,21,21,3,1125745,2021-07-01
25,spotify:track:4cG7HUWYHBV6R6tHn1gxrl,"Riton, Nightcrawlers, Mufasa & Hypeman, Mufasa, Dopamine",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Ministry of Sound Recordings,3,23,23,1121642,2021-07-01
26,spotify:track:2tGvwE8GcFKwNdAXMnlbfl,Olivia Rodrigo,happier,Olivia Rodrigo PS,10,19,6,1108334,2021-07-01
27,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,12,27,37,1071561,2021-07-01
28,spotify:track:5B0kgjHULYJhAQkK5XsMoC,"Tyler, The Creator, YoungBoy Never Broke Again, Ty Dolla $ign",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),Columbia,28,-1,1,1070612,2021-07-01
