rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
1,spotify:track:7rIHP8C7oHYONnJpLjVnAc,Zinoleesky,Many Things,Marlian Music,1,-1,1,743446,2023-04-27
2,spotify:track:6upXA8xqJ5heoVw4nd5Zvs,Asake,2:30,YBNL Nation / EMPIRE,1,1,4,572569,2023-04-27
3,spotify:track:1mk8ZC9OeTZMr8Wy31LqRj,Davido,FEEL,Columbia,3,3,5,537597,2023-04-27
4,spotify:track:2kaH2Z8ezDUKf6fNw250rZ,"Davido, Musa Keys",UNAVAILABLE (feat. Musa Keys),Columbia,2,2,5,531342,2023-04-27
5,spotify:track:0Em4eY10PGyiBlmjWxcav3,"Adekunle Gold, Zinoleesky",Party No Dey Stop,Adekunle Gold PS/ Def Jam,1,8,7,454898,2023-04-27
6,spotify:track:7vKXc90NT5WBm3UTT4iTVG,"Davido, Fave",KANTE (feat. Fave),Columbia,5,6,5,419518,2023-04-27
7,spotify:track:5DttTktPy0RMZPz4UNfFm4,"Davido, Asake",NO COMPETITION (feat. Asake),Columbia,4,5,5,418525,2023-04-27
8,spotify:track:0pLx3RsHPmZnD90h2yaL8V,"Davido, The Cavemen., Angelique Kidjo",NA MONEY (feat. The Cavemen. & Angélique Kidjo),Columbia,7,7,4,347124,2023-04-27
9,spotify:track:6wuMo4ZR83PhlhXhJ1S3VY,"BNXN fka Buju, Kizz Daniel, Seyi Vibez",GWAGWALADA,T.Y.E. / EMPIRE,2,11,11,338711,2023-04-27
10,spotify:track:1sEIkVGd7fG4K5wFQS6f6y,ODUMODUBLVCK,DECLAN RICE,Varick St,1,10,5,330109,2023-04-27
11,spotify:track:1KCCxeit3q5wJXxDmRgbl3,Davido,OVER DEM,Columbia,1,9,5,328878,2023-04-27
12,spotify:track:0GfCR4T6WOErZOw1557ln7,Rema,Holiday,Mavin Global Holdings Ltd / Jonzing World Entertainment,1,14,10,325931,2023-04-27
13,spotify:track:14gQ7SmMZeeEC3YAPB5vFw,Davido,AWAY,Columbia,6,12,5,317055,2023-04-27
14,spotify:track:25Kyv5SeEenT0EETpP2hYn,"Victony, Don Toliver, Rema, Tempoe","Soweto (with Don Toliver, Rema and Tempoe)",Encore Recordings,4,13,6,305346,2023-04-27
15,spotify:track:3BwAHuQhZyL4tOkf36DuQv,"Olamide, CKay",Trumpet,YBNL Nation / EMPIRE,15,-1,1,266580,2023-04-27
16,spotify:track:1wADwLSkYhrSmy4vdy6BRn,Omah Lay,soso,KeyQaad,1,17,41,263521,2023-04-27
17,spotify:track:0SGea6cYbJWWz0MW1MYWlD,Davido,FOR THE ROAD,Columbia,11,15,4,242629,2023-04-27
18,spotify:track:1tOp1bXhT9tvydSAGDHdQy,"Tiwa Savage, Ayra Starr, Young Jonn",Stamina,We4we/Everything Savage,5,19,7,238768,2023-04-27
19,spotify:track:6Tf5WfhWbg8wRkox9bXHPd,Davido,GODFATHER,Columbia,9,16,5,236661,2023-04-27
20,spotify:track:7ErtOGQ9DwyQa3lwP77j4u,Ruger,Asiwaju,Columbia,1,22,24,230201,2023-04-27
21,spotify:track:21hZ5a5marKn0MWxkZ0vYR,"Davido, Morravey",IN THE GARDEN (feat. Morravey),Columbia,8,18,5,225908,2023-04-27
22,spotify:track:3JziUAJNdpilVeO0yf7ksf,Davido,E PAIN ME,Columbia,10,21,5,211179,2023-04-27
23,spotify:track:7E86nXdcmISA9vBH0Egx7O,Mohbad,Ask About Me,Mohbad,20,20,2,209153,2023-04-27
