main_artist,max_rank,min_rank,num_songs,num_dates,IsGirlGroup,IsBoyGroup,IsMixedGroup,Longest_Charting_TimeDays,Shortest_Charting_TimeDays,MinEndDate_Year,MinEndDate_Month,MinEndDate_Day,MaxEndDate_Year,MaxEndDate_Month,MaxEndDate_Day,first_artist_rank
  Damons year,200,8,4,144,0,0,0,1044,1,2022,1,1,2025,12,31,181
#Annyeong,145,145,1,1,0,0,0,22,22,2025,6,12,2025,6,12,145
$,192,31,23,20,0,0,0,505,295,2024,2,2,2024,9,29,75
(G)I-DLE,199,1,25,141,1,0,0,1597,267,2021,1,1,2024,12,31,36
*NSYNC,172,119,1,4,0,0,0,330,309,2024,8,8,2024,8,29,121
-,182,182,1,1,0,0,0,1562,1562,2021,3,25,2021,3,25,182
10-FEET,197,20,1,17,0,0,0,904,792,2023,1,2,2023,5,30,123
104,199,107,1,7,0,0,0,1072,1023,2022,7,1,2022,9,28,187
10CM,200,11,12,118,0,0,0,1506,1,2021,1,1,2025,12,31,63
1415,199,108,2,20,0,0,0,1058,358,2022,1,1,2024,12,27,166
1nonly,198,104,1,5,0,0,0,813,785,2023,4,4,2023,5,27,134
21 Savage,194,85,3,13,0,0,0,533,449,2024,1,1,2024,4,29,104
21univ.,191,150,1,7,0,0,0,1037,995,2022,9,1,2022,10,29,162
220 KID,114,114,1,1,0,0,0,1422,1422,2021,8,12,2021,8,12,114
24kGoldn,196,17,5,48,0,0,0,1611,1177,2021,1,1,2022,12,30,71
2PM,199,62,2,7,0,1,0,1478,1429,2021,6,1,2021,8,29,193
365LIT,116,64,1,2,0,0,0,1317,1310,2021,11,2,2021,12,25,64
4batz,123,123,1,1,0,0,0,477,477,2024,3,14,2024,3,14,123
5 Seconds of Summer,195,94,5,37,0,1,0,1611,57,2021,2,1,2025,12,29,137
88rising,193,112,2,16,0,0,0,1352,1002,2021,1,2,2022,11,29,122
A$AP Rocky,151,141,2,2,0,0,0,1247,1149,2022,2,3,2022,5,12,141
A$ton Wyld,154,107,1,3,0,0,0,1471,1457,2021,6,1,2021,7,24,154
ACRAZE,195,111,1,11,0,0,0,1317,1247,2021,1,2,2022,12,30,184
AHOF,76,76,1,1,0,0,0,1,1,2025,7,3,2025,7,3,76
AJR,179,45,2,39,0,1,0,1611,967,2021,2,1,2022,11,29,127
AJXACE [OLyMP$],84,84,1,1,0,0,0,855,855,2023,3,2,2023,3,2,84
AKMU,199,4,15,145,0,0,0,1611,43,2021,1,1,2025,12,31,66
ALLDAY PROJECT,11,3,2,2,0,0,1,8,1,2025,6,3,2025,7,26,5
ASH ISLAND,200,17,18,127,0,0,0,1583,337,2021,1,1,2024,12,31,52
ATB,195,159,1,5,0,0,0,1590,1562,2021,2,4,2021,3,25,188
ATEEZ,196,6,8,16,0,1,0,1576,8,2021,1,4,2025,12,29,167
ATLXS,177,122,1,8,0,0,0,50,1,2025,5,3,2025,7,29,177
AURORA,168,124,1,3,0,0,0,1527,1513,2021,4,6,2021,5,29,124
Adam Levine,175,175,1,1,0,0,0,274,274,2024,10,3,2024,10,3,175
Addison Rae,199,161,1,2,0,0,0,253,246,2024,10,24,2024,10,31,199
Adele,198,4,14,34,0,0,0,1352,1121,2021,1,2,2022,12,31,91
Ado,198,198,1,1,0,0,0,932,932,2022,12,15,2022,12,15,198
Agust D,200,9,15,66,0,0,0,1611,302,2021,1,1,2024,12,31,35
Ahn Ye Eun,163,106,2,3,0,0,0,1422,946,2021,8,1,2022,12,19,106
Ai Higuchi,198,184,1,5,0,0,0,92,50,2025,4,1,2025,5,17,184
Aimer,187,137,1,3,0,0,0,1296,1226,2021,2,16,2022,12,24,137
Aimyon,197,14,2,41,0,0,0,883,603,2023,2,1,2023,11,31,167
Akame,77,31,5,1,0,0,0,806,806,2023,4,20,2023,4,20,44
Alaina Castillo,200,89,1,13,0,0,0,491,393,2024,2,2,2024,6,30,132
Alan Walker,192,166,2,2,0,0,0,1590,876,2021,2,9,2023,2,25,166
Alessia Cara,191,78,2,16,0,0,0,1611,190,2021,2,1,2024,12,30,184
Alesso,197,91,2,4,0,0,0,1408,1268,2021,1,2,2022,9,26,91
Ali Gatie,190,190,1,1,0,0,0,1555,1555,2021,4,1,2021,4,1,190
Amaarae,148,121,1,3,0,0,0,1324,1310,2021,11,2,2021,12,25,130
Amy Grant,168,80,1,3,0,0,0,1303,1282,2021,12,9,2021,12,30,168
An Nyeong,199,156,1,7,0,0,0,1002,890,2022,1,3,2023,11,27,183
Anandelight,134,2,2,19,0,0,0,1331,1205,2021,1,2,2022,12,30,4
Anderson .Paak,141,81,1,3,0,0,0,1394,1380,2021,9,9,2021,9,23,81
Andy Grammer,193,155,1,3,0,0,0,421,407,2024,5,9,2024,5,23,155
Andy Williams,196,46,1,12,0,0,0,1310,190,2021,12,2,2024,12,30,156
Anitta,169,169,1,1,0,0,0,1191,1191,2022,3,31,2022,3,31,169
Anne-Marie,200,32,5,99,0,0,0,1611,827,2021,1,1,2023,12,31,74
Apink,126,64,1,3,0,0,0,1226,1212,2022,2,3,2022,3,24,64
Ariana Grande,200,6,26,145,0,0,0,1611,78,2021,1,1,2025,12,31,17
Arizona Zervas,178,150,1,5,0,0,0,1597,1569,2021,2,4,2021,3,25,176
Armani White,198,52,1,17,0,0,0,1037,925,2022,9,1,2022,12,29,155
Artemas,174,53,1,12,0,0,0,456,379,2024,4,2,2024,6,30,128
Artist_NA,197,24,3,34,0,0,0,722,43,2023,1,1,2025,12,31,168
Ava Max,174,93,2,20,0,0,0,1590,190,2021,2,1,2024,12,30,151
Aventura,165,165,1,1,0,1,0,1422,1422,2021,8,12,2021,8,12,165
Avicii,190,127,1,5,0,0,0,1107,1051,2022,6,4,2022,8,28,190
Avril Lavigne,130,74,1,2,0,0,0,1324,1317,2021,11,18,2021,11,25,74
Ayumu Imazu,193,103,1,10,0,0,0,519,449,2024,2,1,2024,4,29,150
B.I,199,49,4,29,0,0,0,1485,680,2021,5,1,2023,11,30,163
BABYMONSTER,200,9,6,81,1,0,0,582,1,2023,1,1,2025,12,31,102
BAEKHYUN,198,15,14,17,0,0,0,1611,36,2021,2,1,2025,9,29,90
BE'O,200,2,12,81,0,0,0,1352,568,2021,1,1,2023,12,31,180
BIBI,196,4,13,71,0,0,0,1520,211,2021,1,1,2024,12,31,142
BIG MAMA,191,158,1,2,0,0,0,1457,1436,2021,7,8,2021,7,29,158
BIG Naughty,200,2,18,147,0,0,0,1170,1,2022,1,1,2025,12,31,152
BIGBANG,200,1,17,86,0,1,0,1184,1,2022,1,1,2025,12,30,182
BL8M,101,101,1,1,0,0,0,246,246,2024,10,31,2024,10,31,101
BLACKPINK,200,1,24,142,1,0,0,1611,624,2021,1,1,2023,12,31,139
BLAS,187,9,5,18,0,0,0,925,729,2022,1,1,2023,12,30,78
BOL4,199,56,10,39,0,0,0,1338,71,2021,3,1,2025,11,30,90
BOOHWAL,142,88,1,5,0,0,0,29,1,2025,6,3,2025,7,26,142
BOYNEXTDOOR,200,6,17,73,0,0,0,666,1,2023,1,1,2025,12,31,84
BOYS PLANET,190,79,3,3,0,0,0,799,785,2023,4,4,2023,5,27,122
BSS,200,7,5,68,0,0,0,876,148,2023,1,1,2025,12,31,69
BTOB,180,89,2,3,0,1,0,1219,547,2022,1,3,2024,3,10,89
BTS,200,1,101,185,0,1,0,1611,15,2021,1,1,2025,12,31,51
BUMJIN,193,61,1,75,0,0,0,610,1,2023,1,1,2025,12,31,147
BUMKEY,191,90,1,2,0,0,0,29,22,2025,6,5,2025,6,12,191
BUZZ,200,134,1,14,0,0,0,155,1,2025,1,1,2025,7,30,191
Baby Keem,196,84,2,8,0,0,0,1520,1359,2021,5,2,2021,10,30,161
Bad Bunny,199,81,6,22,0,0,0,1604,624,2021,2,1,2023,10,29,190
Baek A,197,17,1,125,0,0,0,1016,1,2022,1,1,2025,12,31,116
Balming Tiger,163,46,1,9,0,0,0,1030,974,2022,9,3,2022,11,29,48
Basick,196,3,4,28,0,0,0,1317,1128,2021,1,2,2022,12,31,3
Bazzi,199,102,2,11,0,0,0,1590,1408,2021,2,4,2021,8,29,196
Beat Record,8,8,1,1,0,0,0,491,491,2024,2,29,2024,2,29,8
Bebe Rexha,161,119,1,3,0,0,0,1576,1562,2021,3,11,2021,3,25,126
Becky G,194,194,1,1,0,0,0,1219,1219,2022,3,3,2022,3,3,194
Beenzino,199,36,19,10,0,0,0,883,687,2023,2,2,2023,8,27,76
Bella Poarch,194,29,1,16,0,0,0,1506,1401,2021,5,1,2021,9,29,69
Belly,185,153,2,2,0,0,0,1436,1401,2021,7,2,2021,9,29,153
Benson Boone,197,21,4,95,0,0,0,1338,29,2021,1,1,2025,12,31,177
BewhY,197,101,1,4,0,0,0,1429,1408,2021,8,5,2021,8,26,181
Beyonc,197,57,8,24,0,0,0,1107,456,2022,1,1,2024,12,30,163
Billie Eilish,199,6,25,122,0,0,0,1611,1,2021,1,1,2025,12,31,96
Billlie,174,127,1,6,1,0,0,1205,1170,2022,3,7,2022,4,31,172
Bing Crosby,139,139,1,1,0,0,0,1289,1289,2021,12,23,2021,12,23,139
Bizarrap,188,133,2,6,0,0,0,1037,876,2022,1,1,2023,9,26,188
Black Eyed Peas,200,173,1,4,0,0,0,1590,1569,2021,2,4,2021,3,25,200
Block B,181,181,1,1,0,0,0,288,288,2024,9,19,2024,9,19,181
Blxst,185,86,1,21,0,0,0,1443,1275,2021,1,2,2022,12,30,154
BoA,195,39,1,19,0,0,0,1394,1254,2021,1,2,2022,12,30,177
Bobby Caldwell,192,192,1,1,0,0,0,484,484,2024,3,7,2024,3,7,192
Bobby Helms,183,37,1,19,0,0,0,1310,190,2021,11,1,2024,12,30,139
BoyWithUke,193,51,2,28,0,0,0,1338,1142,2021,1,2,2022,12,31,140
Brave Girls,192,3,7,55,0,0,0,1576,1128,2021,1,1,2022,12,30,27
Brenda Lee,158,35,1,20,0,0,0,1310,190,2021,11,1,2024,12,30,158
Brian Kierulf,137,137,1,1,0,0,0,190,190,2024,12,26,2024,12,26,137
Britney Spears,197,88,1,10,0,0,0,1303,554,2021,12,8,2023,12,30,197
Brown Eyed Girls,195,162,1,2,0,0,0,1289,1282,2021,12,23,2021,12,30,195
Brown Eyes,199,81,1,16,0,0,0,1443,1,2021,1,2,2025,7,30,167
Bruno Major,195,166,1,9,0,0,0,1303,1233,2021,1,3,2022,12,27,195
Bruno Mars,200,1,19,130,0,0,0,1576,1,2021,1,1,2025,12,31,1
Burl Ives,191,174,1,3,0,0,0,1289,918,2021,12,23,2022,12,30,174
Busker Busker,184,69,1,10,0,0,0,1184,78,2022,3,4,2025,4,30,110
C JAMM,162,52,10,2,0,0,0,1212,85,2022,3,10,2025,4,10,66
CAMO,153,153,1,1,0,0,0,1261,1261,2022,1,20,2022,1,20,153
CHANGMO,200,35,10,73,0,0,0,1611,428,2021,1,1,2024,12,31,68
CHO JUNG SEOK,196,72,2,12,0,0,0,1443,1366,2021,7,2,2021,10,30,191
CHUNG HA,189,23,6,35,0,0,0,1611,470,2021,1,1,2024,12,30,116
CJ,198,61,1,8,0,0,0,1611,1562,2021,2,4,2021,3,25,198
CKay,187,37,2,21,0,0,0,1373,1233,2021,1,2,2022,12,30,81
CL,196,70,3,11,0,0,0,1401,1331,2021,9,2,2021,11,30,86
CODE KUNST,186,90,6,5,0,0,0,904,827,2023,1,12,2023,3,30,156
Calvin Harris,200,40,7,12,0,0,0,1485,1058,2021,6,1,2022,8,28,90
Camila Cabello,193,19,5,43,0,0,0,1436,456,2021,3,1,2024,11,31,31
Car,197,38,3,42,0,0,0,288,1,2024,1,1,2025,12,31,173
Cardi B,186,10,3,27,0,0,0,1611,1086,2021,2,1,2022,7,29,183
Carolina Gaitn - La Gaita,179,79,1,9,0,0,0,1275,1219,2022,1,3,2022,3,27,159
Central Cee,196,78,3,37,0,0,0,1065,323,2022,1,1,2024,12,29,110
Chang Kiha,193,90,1,5,0,0,0,1191,1163,2022,3,7,2022,4,31,141
Chappell Roan,200,69,1,32,0,0,0,393,127,2024,1,1,2025,12,31,197
Charli XCX,189,142,3,7,0,0,0,1394,414,2021,5,3,2024,9,27,149
Charli xcx,195,41,3,16,0,0,0,386,281,2024,6,1,2024,9,29,159
Charlie Puth,200,1,19,153,0,0,0,1604,204,2021,1,1,2024,12,31,172
Chle,163,87,1,5,0,0,0,1380,1352,2021,9,7,2021,10,30,121
Choi Yu Ree,200,114,2,24,0,0,0,1366,1,2021,1,1,2025,12,30,173
Chris Brown,200,131,3,17,0,0,0,1583,946,2021,1,1,2022,12,29,191
Christopher,192,80,2,6,0,0,0,1023,974,2022,9,3,2022,11,29,191
Clean Bandit,184,140,1,4,0,0,0,1527,1506,2021,4,6,2021,5,29,184
Clinton Kane,184,129,1,9,0,0,0,1401,1345,2021,9,2,2021,10,30,129
Coi Leray,191,52,1,17,0,0,0,883,771,2023,2,2,2023,5,30,142
Colde,193,39,3,9,0,0,0,1436,764,2021,2,1,2023,8,29,125
Coldplay,199,1,16,119,0,0,0,1583,15,2021,1,1,2025,12,31,163
Conan Gray,198,46,9,55,0,0,0,1611,1100,2021,1,1,2022,11,30,145
Coogie,194,46,3,26,0,0,0,1254,589,2022,1,2,2023,11,30,77
Cosmic Boy,199,149,1,24,0,0,0,1597,1142,2021,1,2,2022,12,31,199
Crash Adams,167,167,1,1,0,0,0,1009,1009,2022,9,29,2022,9,29,167
Creepy Nuts,200,35,3,29,0,0,0,533,204,2024,1,1,2024,12,31,200
Crush,198,6,6,83,0,0,0,1009,141,2022,1,1,2025,12,31,8
Cynthia Erivo,189,168,1,2,0,0,0,218,211,2024,11,5,2024,12,28,189
D-Hack,196,16,2,69,0,0,0,1464,1,2021,1,1,2025,12,31,89
D.Ark,153,103,2,5,0,0,0,1541,1499,2021,4,15,2021,5,29,139
