rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
1,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,1,1,3,7260082,2021-06-03
2,spotify:track:6uvMKqNlrSvcC4NaKnrwjZ,"Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Atlantic Records UK,1,2,6,3193753,2021-06-03
3,spotify:track:748mdHapucXQri7IAO8yFK,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,2,4,8,2829698,2021-06-03
4,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,3,3,9,2804572,2021-06-03
5,spotify:track:67BtfxlNbhBmCDR2L2l8qd,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,1,6,10,2554613,2021-06-03
6,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,Olivia Rodrigo PS,6,7,2,2185225,2021-06-03
7,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,5,21,2128158,2021-06-03
8,spotify:track:0siYMEsGrzzzlWLXK5zJfS,"Joel Corry, RAYE, David Guetta",BED,Perfect Havoc / Asylum Records,4,17,14,1872826,2021-06-03
9,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,7,16,35,1802408,2021-06-03
10,spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, GIVĒON",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,1,15,11,1759370,2021-06-03
11,spotify:track:6SRsiMl7w1USE4mFqrOhHC,Olivia Rodrigo,brutal,Olivia Rodrigo PS,8,8,2,1757209,2021-06-03
12,spotify:track:43PGPuHIlVOc04jrZVh9L6,Polo G,RAPSTAR,Columbia,3,12,8,1728113,2021-06-03
13,spotify:track:5JCoSi02qi3jJeHdZXMmR8,Olivia Rodrigo,favorite crime,Olivia Rodrigo PS,13,13,2,1724596,2021-06-03
14,spotify:track:4cG7HUWYHBV6R6tHn1gxrl,"Riton, Nightcrawlers, Mufasa & Hypeman, Mufasa, Dopamine",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Ministry of Sound Recordings,3,20,19,1711826,2021-06-03
