rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
1,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,"Drake, Future, Young Thug",Way 2 Sexy (with Future & Young Thug),OVO,1,2,2,12566960,2021-09-16
2,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,"Drake, 21 Savage, Project Pat",Knife Talk (with 21 Savage ft. Project Pat),OVO,2,5,2,10994213,2021-09-16
3,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,12,10,10885460,2021-09-16
4,spotify:track:27NovPIUIRrOZoCHxABJwK,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,1,15,8,9766371,2021-09-16
5,spotify:track:40iJIUlhi6renaREYGeIDS,"Drake, Travis Scott",Fair Trade (with Travis Scott),OVO,3,3,2,9515298,2021-09-16
6,spotify:track:37Nqx7iavZpotJSDXZWbJ3,"Drake, Lil Baby",Girls Want Girls (with Lil Baby),OVO,1,1,2,8661228,2021-09-16
7,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,7,21,42,8085874,2021-09-16
8,spotify:track:3QFInJAm9eyaho5vBzxInN,"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),Columbia,8,23,3,7799676,2021-09-16
9,spotify:track:0RbW8kWozrVSIGb4V13o0o,Kanye West,Hurricane,Rock The World/IDJ/Kanye LP7,1,13,3,7122782,2021-09-16
10,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,1,26,18,6572354,2021-09-16
11,spotify:track:2HSmyk2qMN8WQjuGhaQgCk,Drake,Champagne Poetry,OVO,4,4,2,6158277,2021-09-16
12,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,Kemosabe Records/RCA Records,4,27,14,6089360,2021-09-16
13,spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,1,32,23,5684589,2021-09-16
14,spotify:track:2Rd4eJ4KwXQQn2sMSToyUM,Kanye West,Moon,Rock The World/IDJ/Kanye LP7,6,28,3,5432973,2021-09-16
15,spotify:track:75MNhvTCCKsST3YqqUiU9r,Ed Sheeran,Shivers,Atlantic Records UK,15,-1,1,5257794,2021-09-16
16,spotify:track:2tUL6dZf1mywCj5WvCPZw6,Drake,No Friends In The Industry,OVO,9,9,2,5190488,2021-09-16
17,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,Kemosabe Records/RCA Records,15,36,12,5074116,2021-09-16
18,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow,2055,Winners Circle/RCA Records,8,37,13,4927631,2021-09-16
19,spotify:track:4s7QLoImIwmPi9L6dq1nVW,Drake,TSU,OVO,6,6,2,4906149,2021-09-16
20,spotify:track:07MDkzWARZaLEdKxo6yArG,"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,"MSFTSMusic / Roc Nation Records, LLC",20,51,4,4858774,2021-09-16
21,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,3,30,7,4783074,2021-09-16
22,spotify:track:6PQ88X9TkUIAUIZJHW2upE,Ed Sheeran,Bad Habits,Atlantic Records UK,7,34,12,4600666,2021-09-16
23,spotify:track:67BtfxlNbhBmCDR2L2l8qd,Lil Nas X,MONTERO (Call Me By Your Name),Columbia,1,38,25,4480041,2021-09-16
24,spotify:track:2gbMPBrBVj3CuNTLp2dHYs,Kanye West,Off The Grid,Rock The World/IDJ/Kanye LP7,4,25,3,4369248,2021-09-16
25,spotify:track:0UTyLmkQgPOEIz95OVAJTR,"Baby Keem, Kendrick Lamar",range brothers (with Kendrick Lamar),Columbia,25,-1,1,4192687,2021-09-16
26,spotify:track:5fwSHlTEWpluwOM0Sxnh5k,Farruko,Pepas,Sony Music Latin,20,42,8,4083957,2021-09-16
27,spotify:track:34D6FJysnQioVingDKufuf,"Drake, Future",N 2 Deep,OVO,11,11,2,4042975,2021-09-16
28,spotify:track:6jy9yJfgCsMHdu2Oz4BGKX,Drake,Papi’s Home,OVO,7,7,2,4030366,2021-09-16
29,spotify:track:5CZ40GBx1sQ9agT82CLQCT,Olivia Rodrigo,traitor,Olivia Rodrigo PS,3,40,17,4018142,2021-09-16
30,spotify:track:0W6I02J9xcqK8MtSeosEXb,Doja Cat,Get Into It (Yuh),Kemosabe Records/RCA Records,18,43,12,3955883,2021-09-16
31,spotify:track:61S79KIVA4I9FXbnsylEHT,"Drake, Lil Durk, GIVĒON",In The Bible (with Lil Durk & Giveon),OVO,8,8,2,3935561,2021-09-16
32,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,4,39,50,3930358,2021-09-16
33,spotify:track:0lnpnsrVaW9elGgRxpDCgE,Walker Hayes,Fancy Like,Monument Records,22,46,12,3821731,2021-09-16
34,spotify:track:3Wrjm47oTz2sjIgck11l5e,Måneskin,Beggin',RCA Records Label,5,41,13,3729679,2021-09-16
35,spotify:track:37y7iDayfwm3WXn5BiAoRk,Steve Lacy,Dark Red,Three Quarter,34,48,6,3689331,2021-09-16
36,spotify:track:4VCbgIdr8ptegWeJpqLVHH,"Drake, JAY-Z",Love All (with JAY-Z),OVO,10,10,2,3670558,2021-09-16
37,spotify:track:18vXApRmJSgQ6wG2ll9AOg,Polo G,RAPSTAR,Columbia,1,50,23,3564390,2021-09-16
38,spotify:track:5lAnYvAIkSDNXqfo7DyFUm,Doja Cat,Ain't Shit,Kemosabe Records/RCA Records,4,49,12,3444829,2021-09-16
39,spotify:track:11pEKMLmavDu8fxOB5QjbQ,Drake,Pipe Down,OVO,14,14,2,3424020,2021-09-16
40,spotify:track:65OVbaJR5O1RmwOQx0875b,"Drake, Lil Baby",Wants and Needs (feat. Lil Baby),OVO,2,45,28,3322648,2021-09-16
41,spotify:track:6HU7h9RYOaPRFeh0R3UeAr,Olivia Rodrigo,deja vu,Olivia Rodrigo PS,2,47,24,3299507,2021-09-16
42,spotify:track:7F9cT6hIRhnFCYP6GKS0tf,"Drake, Kid Cudi",IMY2 (with Kid Cudi),OVO,17,17,2,3240442,2021-09-16
43,spotify:track:42ZrMq4BKsWDrrbMnMRYaK,Kanye West,Jail,Rock The World/IDJ/Kanye LP7,3,33,3,3099557,2021-09-16
44,spotify:track:4wONXG4GqWSscEyZlx300W,Kacey Musgraves,justified,Kacey Musgraves,44,193,3,3078049,2021-09-16
45,spotify:track:3J4VKkUpLvomXJbn9ZAypO,"Meek Mill, Lil Durk, Lil Baby",Sharing Locations (feat. Lil Baby & Lil Durk),MMG/Atlantic,36,55,3,3063325,2021-09-16
46,spotify:track:42m3eP1JJhtzffal9B136J,Drake,7am On Bridle Path,OVO,16,16,2,3009669,2021-09-16
47,spotify:track:6pmNoWKk0r6zfIjWneJRxR,"DaBaby, Lil Wayne",Lonely (with Lil Wayne),South Coast Music / Interscope PS,47,-1,1,2981439,2021-09-16
48,spotify:track:4iJyoBOLtHqaGxP12qzhQI,"Justin Bieber, Daniel Caesar, GIVĒON",Peaches (feat. Daniel Caesar & Giveon),RBMG/Def Jam,1,60,26,2929716,2021-09-16
49,spotify:track:7EkWXAI1wn8Ii883ecd9xr,Surf Curse,Freaks,Surf Curse,31,58,21,2918469,2021-09-16
50,spotify:track:3NqBxTOMCJ3zW9CIP51td4,"Eslabon Armado, DannyLux",Jugaste y Sufrí,DEL Records,50,62,4,2889655,2021-09-16
51,spotify:track:2Q3jFbyE61mCjS3SkW4toJ,Drake,Race My Mind,OVO,18,18,2,2868592,2021-09-16
52,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,19,65,56,2810405,2021-09-16
53,spotify:track:5SixeLvPsYpk7qq9lo5xYg,Chlöe,Have Mercy,Parkwood Entertainment/Columbia,53,-1,1,2792096,2021-09-16
54,spotify:track:5wANPM4fQCJwkGd4rN57mH,Olivia Rodrigo,drivers license,Olivia Rodrigo PS,1,66,36,2684140,2021-09-16
55,spotify:track:1sx0XsWUusUoPstbvokZjP,Tai Verdes,AOK,Arista Records,39,63,14,2648979,2021-09-16
56,spotify:track:50ceCGZ3oD3U5caQV5bP6f,"Drake, Lil Wayne, Rick Ross",You Only Live Twice (with Lil Wayne & Rick Ross),OVO,19,19,2,2599969,2021-09-16
57,spotify:track:1lNEXDlxVhsWaq2DLBUDgC,Kacey Musgraves,simple times,Kacey Musgraves,57,-1,1,2580370,2021-09-16
58,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,72,94,2578957,2021-09-16
59,spotify:track:37BZB0z9T8Xu7U3e65qxFy,"The Weeknd, Ariana Grande",Save Your Tears (with Ariana Grande) (Remix),Republic Records,5,70,21,2572633,2021-09-16
