rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
1,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,Columbia,1,6,6,13655617,2021-11-25
2,spotify:track:5enxwA8aAbwZbf5qCHORXi,Taylor Swift,All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,1,2,10661817,2021-11-25
3,spotify:track:3Kkjo3cT83cw09VJyrLNwX,Adele,Oh My God,Columbia,3,-1,1,10209944,2021-11-25
4,spotify:track:5Z9KJZvQzH6PFmb8SNkxuk,"Lil Nas X, Jack Harlow",INDUSTRY BABY (feat. Jack Harlow),Columbia,1,8,18,7605153,2021-11-25
5,spotify:track:6w8ZPYdnGajyfPddTWdthN,Adele,Can I Get It,Columbia,5,-1,1,7453376,2021-11-25
6,spotify:track:7sMBvZCSUl99bJLXZaLa0b,"Bruno Mars, Anderson .Paak, Silk Sonic",Smokin Out The Window,Aftermath Entertainment/Atlantic,2,2,3,7288601,2021-11-25
7,spotify:track:2DuPBbS5mIldXnh7Wum8Cy,Adele,My Little Love,Columbia,7,-1,1,7268453,2021-11-25
8,spotify:track:6v0UJD4a2FtleHeSYVX02A,Adele,I Drink Wine,Columbia,8,-1,1,7089728,2021-11-25
9,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,12,20,6788158,2021-11-25
10,spotify:track:13CVSGLSFl4UxpDVR6u3dq,Adele,Strangers By Nature,Columbia,10,-1,1,6608645,2021-11-25
11,spotify:track:09u787BYeYIGd2mFIJ505t,Adele,Cry Your Heart Out,Columbia,11,-1,1,6223253,2021-11-25
12,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,4,17,52,6173032,2021-11-25
13,spotify:track:10ImcQk9tihY1EKMDIbvXJ,Adele,To Be Loved,Columbia,13,-1,1,5910751,2021-11-25
14,spotify:track:496vIKS2INz840xZaKncvR,Adele,All Night Parking (with Erroll Garner) Interlude,Columbia,14,-1,1,5367826,2021-11-25
15,spotify:track:2BcMwX1MPV6ZHP4tUT9uq6,"Drake, 21 Savage, Project Pat",Knife Talk (with 21 Savage ft. Project Pat),OVO,2,19,12,5296323,2021-11-25
16,spotify:track:2c6xRsQBv7pynuhYhWoHxo,Adele,Woman Like Me,Columbia,16,-1,1,5267084,2021-11-25
17,spotify:track:6bGMSP3H9YqkmaLnaJTIoF,Adele,Hold On,Columbia,17,-1,1,5110099,2021-11-25
18,spotify:track:6f5ExP43esnvdKPddwKXJH,"NEIKED, Mae Muller, Polo G",Better Days (NEIKED x Mae Muller x Polo G),Capitol Records UK / EMI,6,31,6,4807796,2021-11-25
19,spotify:track:0k1WUmIRnG3xU6fvvDVfRG,"Drake, Future, Young Thug",Way 2 Sexy (with Future & Young Thug),OVO,1,32,12,4711649,2021-11-25
20,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,Doja Cat,Need to Know,Kemosabe Records/RCA Records,4,36,24,4600533,2021-11-25
21,spotify:track:2j3GxEsbNYNeEzz86wDY4J,Adele,Love Is A Game,Columbia,21,-1,1,4547588,2021-11-25
22,spotify:track:50nfwKoDiSYg8zOCREWAm5,Ed Sheeran,Shivers,Atlantic Records UK,8,42,11,4438470,2021-11-25
23,spotify:track:7qM1BWAsZMTYh4BcYLb0uQ,Juice WRLD,Already Dead,Grade A Productions/Interscope Records,7,7,2,4413001,2021-11-25
24,spotify:track:7rglLriMNBPAyuJOMGwi39,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,21,44,14,4313378,2021-11-25
25,spotify:track:00Blm7zeNqgYLPtW6zg8cj,"Post Malone, The Weeknd",One Right Now (with The Weeknd),Republic Records,1,33,3,4312815,2021-11-25
26,spotify:track:3QFInJAm9eyaho5vBzxInN,"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),Columbia,8,43,13,4226883,2021-11-25
27,spotify:track:4ZtFanR9U6ndgddUvNcjcG,Olivia Rodrigo,good 4 u,Olivia Rodrigo PS,1,45,28,4181647,2021-11-25
28,spotify:track:0bYg9bo50gSsH3LtXe2SQn,Mariah Carey,All I Want for Christmas Is You,Columbia,1,74,37,4163696,2021-11-25
29,spotify:track:4fouWK6XVHhzl78KzQ1UjL,GAYLE,abcdefu,Atlantic/Arthouse Records,29,136,2,3994500,2021-11-25
30,spotify:track:07MDkzWARZaLEdKxo6yArG,"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,"MSFTSMusic / Roc Nation Records, LLC",10,46,14,3966329,2021-11-25
31,spotify:track:3DarAbFujv6eYNliUTyqtz,"Doja Cat, SZA",Kiss Me More (feat. SZA),Kemosabe Records/RCA Records,1,48,33,3961199,2021-11-25
32,spotify:track:6RfhBNU1FPWTG7VESlfgOl,Polo G,Bad Man (Smooth Criminal),Columbia,23,23,2,3795661,2021-11-25
33,spotify:track:4CkgMiMqZ5JzW9iYXSTMTL,"Taylor Swift, Chris Stapleton",I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault),Taylor Swift,11,11,2,3764890,2021-11-25
34,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Doja Cat,Woman,Kemosabe Records/RCA Records,12,54,22,3720551,2021-11-25
35,spotify:track:01K4zKU104LyJ8gMb7227B,"Taylor Swift, Phoebe Bridgers",Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,5,5,2,3682034,2021-11-25
36,spotify:track:04S1pkp1VaIqjg8zZqknR5,Taylor Swift,Enchanted,Taylor Swift,29,29,3,3608632,2021-11-25
37,spotify:track:4OAuvHryIVv4kMDNSLuPt6,Taylor Swift,Red (Taylor's Version),Taylor Swift,3,3,2,3602091,2021-11-25
38,spotify:track:2EjXfH91m7f8HiJN1yQg97,Brenda Lee,Rockin' Around The Christmas Tree,MCA Nashville,1,102,32,3493004,2021-11-25
39,spotify:track:3nsfB1vus2qaloUdcBZvDu,Taylor Swift,All Too Well (Taylor's Version),Taylor Swift,4,4,2,3425443,2021-11-25
40,spotify:track:7vQbuQcyTflfCIOu3Uzzya,Bobby Helms,Jingle Bell Rock,Geffen,3,114,31,3424384,2021-11-25
41,spotify:track:3rmo8F54jFF8OgYsqTxm5d,Ed Sheeran,Bad Habits,Atlantic Records UK,7,58,22,3356094,2021-11-25
42,spotify:track:37y7iDayfwm3WXn5BiAoRk,Steve Lacy,Dark Red,Three Quarter,23,55,16,3343270,2021-11-25
43,spotify:track:4RVwu0g32PAqgUiJoXsdF8,Billie Eilish,Happier Than Ever,Darkroom/Interscope Records,3,59,17,3196039,2021-11-25
44,spotify:track:29TPjc8wxfz4XMn21O7VsZ,Playboi Carti,Sky,AWGE/Interscope Records,35,64,14,3192325,2021-11-25
45,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,Lil Nas X,THATS WHAT I WANT,Columbia,4,68,10,3190949,2021-11-25
46,spotify:track:4XvcHTUfIlWfyJTRG0aqlo,Sleepy Hallow,2055,Winners Circle/RCA Records,8,65,23,3189141,2021-11-25
