rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
1,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,Columbia,1,1,7,56744018,2023-03-02
2,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,"KAROL G, Shakira",TQG,UMLE - Latino,2,-1,1,53284451,2023-03-02
3,spotify:track:7oDd86yk8itslrA9HRP2ki,"The Weeknd, Ariana Grande",Die For You - Remix,XO / Republic Records,3,-1,1,46213370,2023-03-02
4,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,2,12,45630547,2023-03-02
5,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,"PinkPantheress, Ice Spice",Boy's a liar Pt. 2,Warner Records,3,3,4,39475419,2023-03-02
6,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,"Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53",DALE PLAY Records,2,4,8,33570215,2023-03-02
7,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,2,6,13,29727331,2023-03-02
8,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,5,48,29028467,2023-03-02
9,spotify:track:4FAKtPVycI4DxoOHC01YqD,"Yandel, Feid",Yandel 150,La Leyenda LLC,8,8,8,26978839,2023-03-02
10,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,7,23,26377166,2023-03-02
11,spotify:track:5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,4,9,35,23545889,2023-03-02
12,spotify:track:0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,9,11,27,23128373,2023-03-02
13,spotify:track:4NoOME4Dhf4xgxbHDT7VGe,"KAROL G, Romeo Santos",X SI VOLVEMOS,UMLE - Latino,13,37,4,23066614,2023-03-02
14,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,12,12,55,22988828,2023-03-02
15,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,2,10,27,22625095,2023-03-02
16,spotify:track:5mHdCZtVyb4DcJw8799hZp,"RAYE, 070 Shake",Escapism.,Human Re Sources,10,13,14,20779383,2023-03-02
17,spotify:track:1zsPaEkglFvxjAhrM8yhpr,"Ozuna, Feid",Hey Mor,Aura Music Corp.,14,17,20,20380460,2023-03-02
18,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,14,19,20034882,2023-03-02
19,spotify:track:78Sw5GDo6AlGwTwanjXbGh,d4vd,Here With Me,Darkroom/Interscope Records,14,16,18,19920918,2023-03-02
20,spotify:track:65FftemJ1DbbZ45DUfHJXE,NewJeans,OMG,ADOR,14,15,9,19851543,2023-03-02
21,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,Republic Records,10,24,13,18680321,2023-03-02
22,spotify:track:2mnXxnrX5vCGolNkaFvVeM,"Arcángel, Bad Bunny",La Jumpa,Rimas Entertainment LLC.,8,18,13,18061126,2023-03-02
23,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,JVKE,14,21,27,17497038,2023-03-02
24,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,1,33,126,17355562,2023-03-02
25,spotify:track:1yHVHoz6Ny29gbbWJYVnFt,Niall Horan,Heaven,Capitol Records,25,72,2,17213555,2023-03-02
26,spotify:track:38UYeBLfvpnDSG9GznZdnL,"Gorillaz, Bad Bunny",Tormenta (feat. Bad Bunny),Parlophone UK,26,-1,1,17032036,2023-03-02
27,spotify:track:6UN73IYd0hZxLi8wFPMQij,Coi Leray,Players,Uptown / Republic Records,20,20,6,17005953,2023-03-02
28,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",DALE PLAY Records,1,19,34,16991984,2023-03-02
29,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,15,22,99,16884498,2023-03-02
30,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,Jive,14,23,12,16490953,2023-03-02
31,spotify:track:4fYte8ZvTK14NEhAOZocBi,OneRepublic,I Ain't Worried,Interscope Records,7,25,39,16470905,2023-03-02
32,spotify:track:1lRtH4FszTrwwlK5gTSbXO,"Natanael Cano, Peso Pluma, Gabito Ballesteros",AMG,WEA Latina,26,26,8,16412813,2023-03-02
33,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,26,28,34,15909680,2023-03-02
34,spotify:track:2mpoNBkngUEwnaKoBhZ0vl,"Peso Pluma, Natanael Cano",PRC,Prajin Parlay Inc dba Prajin Records / Rancho Humilde / Los CT,24,31,5,15836929,2023-03-02
35,spotify:track:2CeKVsFFXG4QzA415QygGb,Feid,Feliz Cumpleaños Ferxxo,UMLE - Latino,32,32,28,15722200,2023-03-02
36,spotify:track:0IKeDy5bT9G0bA7ZixRT4A,"Fuerza Regida, Grupo Frontera",Bebe Dame,Rancho Humilde/Street Mob Records,20,35,9,15529412,2023-03-02
37,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,32,34,10,15409285,2023-03-02
38,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,24,36,20,14826662,2023-03-02
39,spotify:track:4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Just Wanna Rock,Generation Now/Atlantic,30,30,19,14731478,2023-03-02
40,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,26,38,51,14684931,2023-03-02
41,spotify:track:3r8RuvgbX9s7ammBn07D3W,NewJeans,Ditto,ADOR,11,29,11,14664907,2023-03-02
42,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Rimas Entertainment LLC,2,40,43,14612437,2023-03-02
43,spotify:track:59uQI0PADDKeE6UZDTJEe8,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,37,41,4,14312987,2023-03-02
44,spotify:track:4Iry561oo2lujsgL77oCnm,Superstar Pride,PAINTING PICTURES,Superstar Pride under exclusive license to UnitedMasters LLC,44,128,2,14095331,2023-03-02
45,spotify:track:1bDbXMyjaUIooNwFE9wn0N,"Drake, 21 Savage",Rich Flex,OVO / Republic Records,2,39,17,14054125,2023-03-02
46,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,6,48,32,14024690,2023-03-02
47,spotify:track:16dUQ4quIHDe4ZZ0wF1EMN,"KAROL G, Ovy On The Drums",CAIRO,UMLE - Latino,47,73,15,13841811,2023-03-02
48,spotify:track:6Um358vY92UBv5DloTRX9L,"Carin Leon, Grupo Frontera",Que Vuelvas,BorderKid Records/Sony Music Latin,36,46,9,13660651,2023-03-02
