rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
1,spotify:track:7so0lgd0zP2Sbgs2d7a1SZ,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope Records,1,1,34,42665948,2025-04-10
2,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1,3,47,35251544,2025-04-10
3,spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ,Alex Warren,Ordinary,Atlantic Records,3,4,9,33713104,2025-04-10
4,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,1,2,25,33201058,2025-04-10
5,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",2,6,20,28098461,2025-04-10
6,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",3,8,25,27904428,2025-04-10
7,spotify:track:3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,Rimas Entertainment LLC.,1,7,14,26083749,2025-04-10
8,spotify:track:3LPLRNr58Z9Pn0clnEtkXb,Doechii,Anxiety,Top Dawg Entertainment/Capitol Records,3,5,5,25936196,2025-04-10
9,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,7,11,34,24925673,2025-04-10
10,spotify:track:6iOndD4OFo7GkaDypWQIou,"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,WEA Latina,10,19,6,24535282,2025-04-10
11,spotify:track:0fK7ie6XwGxQTIkpFoWkd1,JENNIE,like JENNIE,OA Entertainment/Columbia,9,10,5,23199413,2025-04-10
12,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,7,15,18,22938045,2025-04-10
13,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,9,14,47,22829061,2025-04-10
14,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,13,64,22405347,2025-04-10
15,spotify:track:78HEzDEs1QUnHB2DbxgC1s,"Alemán, Neton Vega",Te Quería Ver,HOMEGROWN MAFIA S.A. DE C.V./Sony Music México-Latin,15,20,9,22392530,2025-04-10
16,spotify:track:2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,Rimas Entertainment LLC.,4,12,14,22338896,2025-04-10
17,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,1,22,52,22208559,2025-04-10
18,spotify:track:2u9S9JJ6hTZS3Vf22HOZKg,Drake,NOKIA,OVO Sound,18,24,8,21916564,2025-04-10
19,spotify:track:0FIDCNYYjNvPVimz5icugS,"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),XO / Republic Records,3,21,28,21649528,2025-04-10
20,spotify:track:5UJbgR4XF4y1DvbkxEqe8S,Tate McRae,Sports car,RCA Records Label,16,16,11,21426829,2025-04-10
21,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,1,17,38,21186107,2025-04-10
22,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",2,18,49,20381980,2025-04-10
23,spotify:track:1edcyazKIdKrIuz9cWpXU6,Ariana Grande,twilight zone,Ariana Grande LP6,9,9,2,20100766,2025-04-10
24,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,"Kendrick Lamar, SZA",All The Stars (with SZA),Black Panther (TDE/DMG) PS,2,23,95,19732764,2025-04-10
25,spotify:track:5ITV0zqzjOYfFWpW0xBmRa,"WizTheMc, bees & honey",Show Me Love,Bamboo Artists,25,47,5,19213252,2025-04-10
26,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,9,25,14,18367890,2025-04-10
27,spotify:track:4oB8Xd7gMlUEtWoD8bmCXW,"Neton Vega, Peso Pluma",Morena,Josa Records,27,40,8,18099119,2025-04-10
28,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,5,28,74,18091319,2025-04-10
29,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,3,33,79,17730303,2025-04-10
30,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,6,29,52,17523367,2025-04-10
31,spotify:track:2LHNTC9QZxsL3nWpt8iaSR,Lady Gaga,Abracadabra,Interscope Records,7,27,10,17520876,2025-04-10
32,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,Warner Records,32,35,84,16878059,2025-04-10
33,spotify:track:7EW7Yivb93qKAtp5qEm5of,Lil Tecca,Dark Thoughts,Galactic / Republic Records,23,26,4,16581158,2025-04-10
34,spotify:track:6393yGahSJ9slVdOwSxOVR,Chappell Roan,Pink Pony Club,Chappell Roan PS/ Island,24,32,33,16534850,2025-04-10
35,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,3,37,33,16118361,2025-04-10
36,spotify:track:5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,Rimas Entertainment LLC.,5,31,14,16065639,2025-04-10
37,spotify:track:4DnrAI8WyUY6gkOwl8GlPN,"Alleh, Yorghaki",capaz (merengueton),CONMUER LLC,36,36,16,15898495,2025-04-10
38,spotify:track:0FTmksd2dxiE5e3rWyJXs6,sombr,back to friends,Warner Records,38,64,3,15660299,2025-04-10
39,spotify:track:3be9ACTxtcL6Zm4vJRUiPG,yung kai,blue,BMG Rights Management (US) LLC,25,39,19,15557059,2025-04-10
40,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,15,38,129,15556659,2025-04-10
41,spotify:track:1UPB5rYJ0bzn6mNSoAHrZC,NIKI,You'll Be in My Heart - Spotify Singles,88rising Music,41,102,2,15529607,2025-04-10
42,spotify:track:0DMJz677XfXiiruhIELu2e,"Jombriel, DFZM, Jøtta",VITAMINA,WEA Latina,42,75,5,15490585,2025-04-10
43,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,5,46,42,15423896,2025-04-10
44,spotify:track:0aB0v4027ukVziUGwVGYpG,"Kendrick Lamar, Lefty Gunplay",tv off (feat. lefty gunplay),"pgLang, under exclusive license to Interscope Records",7,34,20,15187413,2025-04-10
45,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,15,51,144,15138248,2025-04-10
46,spotify:track:0GRc3eGTg8HBdWLRGYgqIc,Ed Sheeran,Azizam,Gingerbread Man Records / Atlantic Records UK,46,-1,1,15077275,2025-04-10
47,spotify:track:3D24ErT1MMmUfXWotSj2A2,"Fuerza Regida, Grupo Frontera",ME JALO,Rancho Humilde/Streetmob Records/Grupo Frontera/Sony Music Latin,41,43,15,14997159,2025-04-10
48,spotify:track:4eLDmhsJW3JoZTXCAozHor,Neton Vega,Loco,Josa Records,16,54,15,14832597,2025-04-10
49,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,Sweater Weather,Columbia,16,48,241,14811445,2025-04-10
50,spotify:track:3siwsiaEoU4Kuuc9WKMUy5,The Marías,No One Noticed,Nice Life/Atlantic,50,56,21,14804193,2025-04-10
51,spotify:track:7d6yK8v8J484SWH5prIQiE,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Rimas Entertainment LLC.,9,49,14,14703928,2025-04-10
52,spotify:track:59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,Rimas Entertainment LLC.,8,45,14,14637442,2025-04-10
53,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,40,65,174,14457366,2025-04-10
