rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,Start_Date,Week,Year,Start_Date_Dt,Artist,ArtistCount,lenOnCharts,Position_Difference
110,spotify:track:680qLWCMRfR6evrNNBCE9e,-,MLK Interlude,RBMG/Def Jam,110,-1,1,1429,2021-03-19,11,2021,2021-03-19,-,1,0,0
106,spotify:track:680qLWCMRfR6evrNNBCE9e,-,MLK Interlude,RBMG/Def Jam,106,110,2,1395,2021-03-20,11,2021,2021-03-20,-,1,0,111
144,spotify:track:680qLWCMRfR6evrNNBCE9e,-,MLK Interlude,RBMG/Def Jam,106,106,3,1216,2021-03-21,11,2021,2021-03-21,-,1,0,-4
194,spotify:track:680qLWCMRfR6evrNNBCE9e,-,MLK Interlude,RBMG/Def Jam,106,144,4,1038,2021-03-22,12,2021,2021-03-22,-,1,0,38
163,spotify:track:1bFoCHXsP2qd4YWi2JmlCN,24kGoldn,"3, 2, 1",Records/Columbia,163,-1,1,1037,2021-02-19,7,2021,2021-02-19,24kGoldn,1,0,0
157,spotify:track:1bFoCHXsP2qd4YWi2JmlCN,24kGoldn,"3, 2, 1",Records/Columbia,157,163,2,1043,2021-02-20,7,2021,2021-02-20,24kGoldn,1,0,164
177,spotify:track:1bFoCHXsP2qd4YWi2JmlCN,24kGoldn,"3, 2, 1",Records/Columbia,157,-1,3,1050,2021-02-22,8,2021,2021-02-22,24kGoldn,1,0,-164
160,spotify:track:1bFoCHXsP2qd4YWi2JmlCN,24kGoldn,"3, 2, 1",Records/Columbia,157,177,4,1128,2021-02-23,8,2021,2021-02-23,24kGoldn,1,0,178
136,spotify:track:1bFoCHXsP2qd4YWi2JmlCN,24kGoldn,"3, 2, 1",Records/Columbia,136,160,5,1211,2021-02-24,8,2021,2021-02-24,24kGoldn,1,0,-17
168,spotify:track:1bFoCHXsP2qd4YWi2JmlCN,24kGoldn,"3, 2, 1",Records/Columbia,136,136,6,1052,2021-02-25,8,2021,2021-02-25,24kGoldn,1,0,-24
182,spotify:track:05EjphKqE2EJVMy0iORf1l,24kGoldn,Love Or Lust,Records/Columbia,182,-1,1,1150,2021-03-26,12,2021,2021-03-26,24kGoldn,1,0,0
183,spotify:track:05EjphKqE2EJVMy0iORf1l,24kGoldn,Love Or Lust,Records/Columbia,182,182,2,1071,2021-03-27,12,2021,2021-03-27,24kGoldn,1,0,183
130,spotify:track:05EjphKqE2EJVMy0iORf1l,24kGoldn,Love Or Lust,Records/Columbia,130,183,3,1324,2021-03-28,12,2021,2021-03-28,24kGoldn,1,0,1
95,spotify:track:05EjphKqE2EJVMy0iORf1l,24kGoldn,Love Or Lust,Records/Columbia,95,130,4,1695,2021-03-29,13,2021,2021-03-29,24kGoldn,1,0,-53
103,spotify:track:05EjphKqE2EJVMy0iORf1l,24kGoldn,Love Or Lust,Records/Columbia,95,95,5,1692,2021-03-30,13,2021,2021-03-30,24kGoldn,1,0,-35
85,spotify:track:05EjphKqE2EJVMy0iORf1l,24kGoldn,Love Or Lust,Records/Columbia,85,103,6,1887,2021-03-31,13,2021,2021-03-31,24kGoldn,1,0,8
48,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,48,-1,1,2108,2021-02-01,5,2021,2021-02-01,24kGoldn,2,8,0
92,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,48,48,2,3929,2021-02-02,5,2021,2021-02-02,24kGoldn,2,8,49
72,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,48,92,3,3756,2021-02-03,5,2021,2021-02-03,24kGoldn,2,8,44
62,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,48,72,4,3566,2021-02-04,5,2021,2021-02-04,24kGoldn,2,8,-20
55,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,48,62,5,3455,2021-02-05,5,2021,2021-02-05,24kGoldn,2,8,-10
48,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,48,55,6,3445,2021-02-06,5,2021,2021-02-06,24kGoldn,2,8,-7
47,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,47,48,7,3344,2021-02-07,5,2021,2021-02-07,24kGoldn,2,8,-7
46,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,46,47,8,3490,2021-02-08,6,2021,2021-02-08,24kGoldn,2,8,-1
28,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,28,46,9,3100,2021-02-09,6,2021,2021-02-09,24kGoldn,2,8,-1
22,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,22,28,10,2866,2021-02-10,6,2021,2021-02-10,24kGoldn,2,8,-18
20,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,20,22,11,2564,2021-02-11,6,2021,2021-02-11,24kGoldn,2,8,-6
20,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,20,20,12,2535,2021-02-12,6,2021,2021-02-12,24kGoldn,2,8,-2
19,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,19,20,13,2713,2021-02-13,6,2021,2021-02-13,24kGoldn,2,8,0
19,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,19,19,14,2652,2021-02-14,6,2021,2021-02-14,24kGoldn,2,8,-1
16,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,16,19,15,2982,2021-02-15,7,2021,2021-02-15,24kGoldn,2,8,0
18,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,16,16,16,2863,2021-02-16,7,2021,2021-02-16,24kGoldn,2,8,-3
17,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,16,18,17,2721,2021-02-17,7,2021,2021-02-17,24kGoldn,2,8,2
17,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,16,17,18,2691,2021-02-18,7,2021,2021-02-18,24kGoldn,2,8,-1
22,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,16,17,19,2661,2021-02-19,7,2021,2021-02-19,24kGoldn,2,8,0
15,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,22,20,2883,2021-02-20,7,2021,2021-02-20,24kGoldn,2,8,5
17,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,15,21,2637,2021-02-21,7,2021,2021-02-21,24kGoldn,2,8,-7
22,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,17,22,2801,2021-02-22,8,2021,2021-02-22,24kGoldn,2,8,2
21,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,22,23,2801,2021-02-23,8,2021,2021-02-23,24kGoldn,2,8,5
21,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,21,24,2599,2021-02-24,8,2021,2021-02-24,24kGoldn,2,8,-1
21,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,21,25,2572,2021-02-25,8,2021,2021-02-25,24kGoldn,2,8,0
20,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,21,26,2721,2021-02-26,8,2021,2021-02-26,24kGoldn,2,8,0
19,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,20,27,2624,2021-02-27,8,2021,2021-02-27,24kGoldn,2,8,-1
16,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,19,28,2498,2021-02-28,8,2021,2021-02-28,24kGoldn,2,8,-1
20,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,16,29,2340,2021-03-01,9,2021,2021-03-01,24kGoldn,2,8,-3
18,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,20,30,2567,2021-03-02,9,2021,2021-03-02,24kGoldn,2,8,4
20,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,18,31,2524,2021-03-03,9,2021,2021-03-03,24kGoldn,2,8,-2
21,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,20,32,2403,2021-03-04,9,2021,2021-03-04,24kGoldn,2,8,2
23,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,21,33,2593,2021-03-05,9,2021,2021-03-05,24kGoldn,2,8,1
19,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,23,34,2604,2021-03-06,9,2021,2021-03-06,24kGoldn,2,8,2
25,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,19,35,2360,2021-03-07,9,2021,2021-03-07,24kGoldn,2,8,-4
27,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,25,36,2320,2021-03-08,10,2021,2021-03-08,24kGoldn,2,8,6
24,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,27,37,2469,2021-03-09,10,2021,2021-03-09,24kGoldn,2,8,2
24,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,24,38,2549,2021-03-10,10,2021,2021-03-10,24kGoldn,2,8,-3
30,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,24,39,2358,2021-03-11,10,2021,2021-03-11,24kGoldn,2,8,0
35,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,30,40,2399,2021-03-12,10,2021,2021-03-12,24kGoldn,2,8,6
31,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,35,41,2452,2021-03-13,10,2021,2021-03-13,24kGoldn,2,8,5
36,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,31,42,2352,2021-03-14,10,2021,2021-03-14,24kGoldn,2,8,-4
36,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,36,43,2449,2021-03-15,11,2021,2021-03-15,24kGoldn,2,8,5
32,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,36,44,2534,2021-03-16,11,2021,2021-03-16,24kGoldn,2,8,0
35,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,32,45,2493,2021-03-17,11,2021,2021-03-17,24kGoldn,2,8,-4
34,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,35,46,2542,2021-03-18,11,2021,2021-03-18,24kGoldn,2,8,3
41,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,34,47,2560,2021-03-19,11,2021,2021-03-19,24kGoldn,2,8,-1
47,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,41,48,2432,2021-03-20,11,2021,2021-03-20,24kGoldn,2,8,7
46,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,47,49,2407,2021-03-21,11,2021,2021-03-21,24kGoldn,2,8,6
47,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,46,50,2448,2021-03-22,12,2021,2021-03-22,24kGoldn,2,8,-1
48,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,47,51,2401,2021-03-23,12,2021,2021-03-23,24kGoldn,2,8,1
45,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,48,52,2479,2021-03-24,12,2021,2021-03-24,24kGoldn,2,8,1
55,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,45,53,2402,2021-03-25,12,2021,2021-03-25,24kGoldn,2,8,-3
46,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,55,54,2664,2021-03-26,12,2021,2021-03-26,24kGoldn,2,8,10
44,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,46,55,2652,2021-03-27,12,2021,2021-03-27,24kGoldn,2,8,-9
44,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,44,56,2530,2021-03-28,12,2021,2021-03-28,24kGoldn,2,8,-2
45,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,44,57,2676,2021-03-29,13,2021,2021-03-29,24kGoldn,2,8,0
51,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,45,58,2682,2021-03-30,13,2021,2021-03-30,24kGoldn,2,8,1
52,spotify:track:4jPy3l0RUwlUI9T5XHBW2m,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,15,51,59,2582,2021-03-31,13,2021,2021-03-31,24kGoldn,2,8,6
131,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,131,-1,1,3194,2021-02-02,5,2021,2021-02-02,5 Seconds of Summer,1,8,0
124,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,124,131,2,2940,2021-02-03,5,2021,2021-02-03,5 Seconds of Summer,1,8,132
131,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,124,124,3,2664,2021-02-04,5,2021,2021-02-04,5 Seconds of Summer,1,8,-7
124,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,124,131,4,2509,2021-02-05,5,2021,2021-02-05,5 Seconds of Summer,1,8,7
130,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,124,124,5,2281,2021-02-06,5,2021,2021-02-06,5 Seconds of Summer,1,8,-7
131,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,124,130,6,2195,2021-02-07,5,2021,2021-02-07,5 Seconds of Summer,1,8,6
139,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,124,131,7,2182,2021-02-08,6,2021,2021-02-08,5 Seconds of Summer,1,8,1
107,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,107,139,8,1856,2021-02-09,6,2021,2021-02-09,5 Seconds of Summer,1,8,8
92,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,92,107,9,1703,2021-02-10,6,2021,2021-02-10,5 Seconds of Summer,1,8,-32
108,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,92,92,10,1385,2021-02-11,6,2021,2021-02-11,5 Seconds of Summer,1,8,-15
111,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,92,108,11,1235,2021-02-12,6,2021,2021-02-12,5 Seconds of Summer,1,8,16
100,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,92,111,12,1319,2021-02-13,6,2021,2021-02-13,5 Seconds of Summer,1,8,3
114,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,92,100,13,1213,2021-02-14,6,2021,2021-02-14,5 Seconds of Summer,1,8,-11
107,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,92,114,14,1354,2021-02-15,7,2021,2021-02-15,5 Seconds of Summer,1,8,14
115,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,92,107,15,1326,2021-02-16,7,2021,2021-02-16,5 Seconds of Summer,1,8,-7
112,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,92,115,16,1301,2021-02-17,7,2021,2021-02-17,5 Seconds of Summer,1,8,8
108,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,92,112,17,1303,2021-02-18,7,2021,2021-02-18,5 Seconds of Summer,1,8,-3
100,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,92,108,18,1343,2021-02-19,7,2021,2021-02-19,5 Seconds of Summer,1,8,-4
93,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,92,100,19,1363,2021-02-20,7,2021,2021-02-20,5 Seconds of Summer,1,8,-8
86,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,93,20,1406,2021-02-21,7,2021,2021-02-21,5 Seconds of Summer,1,8,-7
93,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,86,21,1489,2021-02-22,8,2021,2021-02-22,5 Seconds of Summer,1,8,-7
103,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,93,22,1446,2021-02-23,8,2021,2021-02-23,5 Seconds of Summer,1,8,7
100,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,103,23,1368,2021-02-24,8,2021,2021-02-24,5 Seconds of Summer,1,8,10
93,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,100,24,1424,2021-02-25,8,2021,2021-02-25,5 Seconds of Summer,1,8,-3
102,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,93,25,1334,2021-02-26,8,2021,2021-02-26,5 Seconds of Summer,1,8,-7
88,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,102,26,1353,2021-02-27,8,2021,2021-02-27,5 Seconds of Summer,1,8,9
86,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,88,27,1295,2021-02-28,8,2021,2021-02-28,5 Seconds of Summer,1,8,-14
108,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,86,28,1203,2021-03-01,9,2021,2021-03-01,5 Seconds of Summer,1,8,-2
122,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,108,29,1193,2021-03-02,9,2021,2021-03-02,5 Seconds of Summer,1,8,22
118,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,122,30,1214,2021-03-03,9,2021,2021-03-03,5 Seconds of Summer,1,8,14
133,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,118,31,1130,2021-03-04,9,2021,2021-03-04,5 Seconds of Summer,1,8,-4
120,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,133,32,1197,2021-03-05,9,2021,2021-03-05,5 Seconds of Summer,1,8,15
122,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,120,33,1177,2021-03-06,9,2021,2021-03-06,5 Seconds of Summer,1,8,-13
128,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,122,34,1140,2021-03-07,9,2021,2021-03-07,5 Seconds of Summer,1,8,2
104,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,128,35,1287,2021-03-08,10,2021,2021-03-08,5 Seconds of Summer,1,8,6
118,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,104,36,1218,2021-03-09,10,2021,2021-03-09,5 Seconds of Summer,1,8,-24
110,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,118,37,1252,2021-03-10,10,2021,2021-03-10,5 Seconds of Summer,1,8,14
100,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,110,38,1324,2021-03-11,10,2021,2021-03-11,5 Seconds of Summer,1,8,-8
108,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,100,39,1311,2021-03-12,10,2021,2021-03-12,5 Seconds of Summer,1,8,-10
132,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,108,40,1219,2021-03-13,10,2021,2021-03-13,5 Seconds of Summer,1,8,8
129,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,132,41,1209,2021-03-14,10,2021,2021-03-14,5 Seconds of Summer,1,8,24
135,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,129,42,1210,2021-03-15,11,2021,2021-03-15,5 Seconds of Summer,1,8,-3
131,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,135,43,1260,2021-03-16,11,2021,2021-03-16,5 Seconds of Summer,1,8,6
113,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,131,44,1353,2021-03-17,11,2021,2021-03-17,5 Seconds of Summer,1,8,-4
125,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,113,45,1313,2021-03-18,11,2021,2021-03-18,5 Seconds of Summer,1,8,-18
136,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,125,46,1301,2021-03-19,11,2021,2021-03-19,5 Seconds of Summer,1,8,12
143,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,136,47,1213,2021-03-20,11,2021,2021-03-20,5 Seconds of Summer,1,8,11
127,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,143,48,1309,2021-03-21,11,2021,2021-03-21,5 Seconds of Summer,1,8,7
140,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,127,49,1265,2021-03-22,12,2021,2021-03-22,5 Seconds of Summer,1,8,-16
117,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,140,50,1436,2021-03-23,12,2021,2021-03-23,5 Seconds of Summer,1,8,13
126,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,117,51,1384,2021-03-24,12,2021,2021-03-24,5 Seconds of Summer,1,8,-23
135,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,126,52,1339,2021-03-25,12,2021,2021-03-25,5 Seconds of Summer,1,8,9
170,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,135,53,1190,2021-03-26,12,2021,2021-03-26,5 Seconds of Summer,1,8,9
137,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,170,54,1281,2021-03-27,12,2021,2021-03-27,5 Seconds of Summer,1,8,35
125,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,137,55,1338,2021-03-28,12,2021,2021-03-28,5 Seconds of Summer,1,8,-33
148,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,125,56,1298,2021-03-29,13,2021,2021-03-29,5 Seconds of Summer,1,8,-12
150,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,148,57,1325,2021-03-30,13,2021,2021-03-30,5 Seconds of Summer,1,8,23
130,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,Capitol,86,150,58,1450,2021-03-31,13,2021,2021-03-31,5 Seconds of Summer,1,8,2
114,spotify:track:53BHUFdQphHiZUUG3nx9zn,AJR,Bang!,Black Butter,114,-1,1,1299,2021-02-01,5,2021,2021-02-01,AJR,1,8,0
147,spotify:track:53BHUFdQphHiZUUG3nx9zn,AJR,Bang!,Black Butter,114,114,2,2984,2021-02-02,5,2021,2021-02-02,AJR,1,8,115
126,spotify:track:53BHUFdQphHiZUUG3nx9zn,AJR,Bang!,Black Butter,114,147,3,2911,2021-02-03,5,2021,2021-02-03,AJR,1,8,33
104,spotify:track:53BHUFdQphHiZUUG3nx9zn,AJR,Bang!,Black Butter,104,126,4,2885,2021-02-04,5,2021,2021-02-04,AJR,1,8,-21
101,spotify:track:53BHUFdQphHiZUUG3nx9zn,AJR,Bang!,Black Butter,101,104,5,2766,2021-02-05,5,2021,2021-02-05,AJR,1,8,-22
81,spotify:track:53BHUFdQphHiZUUG3nx9zn,AJR,Bang!,Black Butter,81,101,6,2706,2021-02-06,5,2021,2021-02-06,AJR,1,8,-3
