rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,End Date
1,spotify:track:0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,Columbia,1,1,5,70779705,2023-02-16
2,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,2,10,49001391,2023-02-16
3,spotify:track:4nrPB8O7Y7wsOCJdgXkthe,"Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53",DALE PLAY Records,2,3,6,38663081,2023-02-16
4,spotify:track:6AQbmUe0Qwf5PZnt4HmTXv,"PinkPantheress, Ice Spice",Boy's a liar Pt. 2,Warner Records,4,62,2,31652170,2023-02-16
5,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,6,46,31055938,2023-02-16
6,spotify:track:0NZPBYD5qbEWRs3PrGiRkT,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,4,21,30981888,2023-02-16
7,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,2,5,11,29846966,2023-02-16
8,spotify:track:4FAKtPVycI4DxoOHC01YqD,"Yandel, Feid",Yandel 150,La Leyenda LLC,8,8,6,25272850,2023-02-16
9,spotify:track:5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,4,7,33,23858274,2023-02-16
10,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,2,9,25,23684392,2023-02-16
11,spotify:track:5mHdCZtVyb4DcJw8799hZp,"RAYE, 070 Shake",Escapism.,Human Re Sources,10,10,12,23273160,2023-02-16
12,spotify:track:0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,9,11,25,22977259,2023-02-16
13,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,12,17,22036066,2023-02-16
14,spotify:track:65FftemJ1DbbZ45DUfHJXE,NewJeans,OMG,ADOR,14,16,7,21594175,2023-02-16
15,spotify:track:78Sw5GDo6AlGwTwanjXbGh,d4vd,Here With Me,Darkroom/Interscope Records,14,15,16,21282493,2023-02-16
16,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,13,13,53,21274119,2023-02-16
17,spotify:track:2mnXxnrX5vCGolNkaFvVeM,"Arcángel, Bad Bunny",La Jumpa,Rimas Entertainment LLC.,8,14,11,20006341,2023-02-16
18,spotify:track:1zsPaEkglFvxjAhrM8yhpr,"Ozuna, Feid",Hey Mor,Aura Music Corp.,14,17,18,19218739,2023-02-16
19,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,JVKE,14,21,25,18680924,2023-02-16
20,spotify:track:4fYte8ZvTK14NEhAOZocBi,OneRepublic,I Ain't Worried,Interscope Records,7,22,37,18584423,2023-02-16
21,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",DALE PLAY Records,1,20,32,18544987,2023-02-16
22,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,Jive,14,18,10,18342180,2023-02-16
23,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,15,23,97,17711305,2023-02-16
24,spotify:track:2mpoNBkngUEwnaKoBhZ0vl,"Peso Pluma, Natanael Cano",PRC,Prajin Parlay Inc dba Prajin Records / Rancho Humilde / Los CT,24,24,3,17574268,2023-02-16
25,spotify:track:3r8RuvgbX9s7ammBn07D3W,NewJeans,Ditto,ADOR,11,19,9,17521295,2023-02-16
26,spotify:track:1jHgfC8T5KxUyC5Ldw6lk9,Leo Santana,Zona De Perigo,Universal Music Ltda.,26,38,2,17210508,2023-02-16
27,spotify:track:1lRtH4FszTrwwlK5gTSbXO,"Natanael Cano, Peso Pluma, Gabito Ballesteros",AMG,WEA Latina,27,28,6,17176882,2023-02-16
28,spotify:track:6UN73IYd0hZxLi8wFPMQij,Coi Leray,Players,Uptown / Republic Records,28,63,4,17143056,2023-02-16
29,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,Republic Records,10,31,11,16267379,2023-02-16
30,spotify:track:4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Just Wanna Rock,Generation Now/Atlantic,30,42,17,16246697,2023-02-16
31,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,26,26,32,16111138,2023-02-16
32,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,32,39,8,15838994,2023-02-16
33,spotify:track:373gDROnujxNTFa1FojYIl,Linkin Park,Lost,Warner Records,33,-1,1,15658379,2023-02-16
34,spotify:track:0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,Epic,8,29,17,15656671,2023-02-16
35,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,24,34,18,15406791,2023-02-16
36,spotify:track:1bDbXMyjaUIooNwFE9wn0N,"Drake, 21 Savage",Rich Flex,OVO / Republic Records,2,27,15,15367267,2023-02-16
37,spotify:track:2CeKVsFFXG4QzA415QygGb,Feid,Feliz Cumpleaños Ferxxo,UMLE - Latino,33,36,26,15228050,2023-02-16
38,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,26,40,49,15223349,2023-02-16
39,spotify:track:59uQI0PADDKeE6UZDTJEe8,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,37,37,2,15221635,2023-02-16
40,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,1,41,124,15126990,2023-02-16
41,spotify:track:0IKeDy5bT9G0bA7ZixRT4A,"Fuerza Regida, Grupo Frontera",Bebe Dame,Rancho Humilde/Street Mob Records,20,32,7,15086466,2023-02-16
42,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Rimas Entertainment LLC,2,30,41,15018493,2023-02-16
43,spotify:track:3Zyk5Vd9WNPNVWxvb0EZTk,"KAROL G, Romeo Santos",X SI VOLVEMOS,UMLE - Latino,35,35,2,14619508,2023-02-16
44,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,Parkwood Entertainment/Columbia,13,33,26,14566654,2023-02-16
45,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,"Metro Boomin, Future, Chris Brown",Superhero (Heroes & Villains) [with Future & Chris Brown],Republic Records,15,45,11,14467176,2023-02-16
46,spotify:track:1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,Darkroom/Interscope Records,17,43,24,14426228,2023-02-16
47,spotify:track:0mHC3BK9vFGoEU0EcGPWRZ,Lazza,CENERE,Universal Music Italia srL.,47,-1,1,14414656,2023-02-16
48,spotify:track:4WiQA1AGWHFvaxBU6bHghs,Quevedo,PUNTO G,Quevedo,32,49,15,13920990,2023-02-16
49,spotify:track:6Um358vY92UBv5DloTRX9L,"Carin Leon, Grupo Frontera",Que Vuelvas,BorderKid Records/Sony Music Latin,36,58,7,13602282,2023-02-16
50,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,6,48,30,13581739,2023-02-16
51,spotify:track:567e29TDzLwZwfDuEpGTwo,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,53,84,13564976,2023-02-16
52,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,19,52,129,13439706,2023-02-16
53,spotify:track:4sx6NRwL6Ol3V6m9exwGlQ,The Kid LAROI,Love Again,Columbia,25,25,3,13366652,2023-02-16
54,spotify:track:73vIOb4Q7YN6HeJTbscRx5,"Oliver Tree, Robin Schulz",Miss You,Atlantic Records,11,46,19,13357115,2023-02-16
